amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,log_amount,hour_sin,hour_cos,is_late_night,high_velocity,low_device_trust,risk_signal_count,merchant_category_Clothing,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel
40.96,6,0,1,82,2,51,3.7367167835280966,1.0,6.123233995736766e-17,0,0,0,1,0,0,1,0,0
57.07,6,0,0,42,2,18,4.061649179383958,1.0,6.123233995736766e-17,0,0,0,0,0,1,0,0,0
44.24,0,0,0,26,2,25,3.81198165124792,0.0,1.0,1,0,1,2,0,0,0,1,0
396.8,23,0,0,97,1,34,5.985949366419872,-0.25881904510252157,0.9659258262890681,0,0,0,0,1,0,0,0,0
20.13,0,0,0,91,1,28,3.0506938316279655,0.0,1.0,1,0,0,1,0,0,1,0,0
129.82,4,0,0,82,0,40,4.8738223325330665,0.8660254037844386,0.5000000000000001,1,0,0,1,1,0,0,0,0
152.2,8,0,0,65,2,30,5.0317442573064906,0.8660254037844387,-0.4999999999999998,0,0,0,0,0,0,0,0,1
293.74,22,0,0,35,1,54,5.686093611785117,-0.5000000000000004,0.8660254037844384,0,0,1,1,0,0,0,0,1
86.02,7,0,0,99,2,45,4.466137977292534,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,1,0,0,0
335.42,16,0,0,76,2,39,5.818360379363636,-0.8660254037844385,-0.5000000000000004,0,0,0,0,1,0,0,0,0
51.05,14,0,0,60,3,59,3.952204795060978,-0.4999999999999997,-0.8660254037844388,0,0,0,0,1,0,0,0,0
315.12,17,0,0,78,1,46,5.756121888336774,-0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1,0,0
123.44,6,0,0,55,2,65,4.8238236720294365,1.0,6.123233995736766e-17,0,0,0,0,1,0,0,0,0
364.63,23,0,0,82,4,44,5.901621893106292,-0.25881904510252157,0.9659258262890681,0,1,0,1,0,0,0,0,1
10.47,11,0,0,75,3,43,2.4397349311412793,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,0,0,1
